Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSG00000238305	13	100436308	100436411
ENSG00000207500	13	27829201	27829272
ENSG00000260738	13	100647153	100650163
ENSG00000207051	13	27829538	27829663
ENSG00000221756	13	27894150	27894296
ENSG00000225999	13	100680023	100680428
ENSG00000252247	13	27917785	27917883
ENSG00000229609	13	27947485	27948503
ENSG00000236554	13	100714550	100715855
ENSG00000201242	13	27976613	27976724
ENSG00000203602	13	28008286	28008752
ENSG00000252499	13	28062275	28062369
ENSG00000228501	13	100802735	100803346
ENSG00000226703	13	28270530	28271341
ENSG00000261125	HG185_PATCH	39873994	39890896
ENSG00000270632	13	100850441	100850723
ENSG00000207330	13	28402900	28403006
ENSG00000234650	13	101116694	101133411
ENSG00000247381	13	28407581	28495541
ENSG00000260704	13	28527663	28529507
ENSG00000242360	13	28563435	28563721
ENSG00000224356	13	101187995	101232371
ENSG00000271026	13	28641724	28642471
ENSG00000235115	13	28681568	28682014
ENSG00000234354	13	101192089	101192528
ENSG00000261485	13	28710980	28712330
ENSG00000237082	13	101276129	101276683
ENSG00000232587	13	28788650	28790034
ENSG00000200840	13	28806638	28806744
ENSG00000233009	13	101360579	101711638
ENSG00000235472	13	29172970	29174189
ENSG00000202237	13	29277839	29277944
ENSG00000214051	13	101408805	101409313
ENSG00000233588	13	29296523	29298158
ENSG00000229599	13	101593116	101596618
ENSG00000236339	13	29352695	29353074
ENSG00000272349	13	102369198	102369728
ENSG00000221670	13	29796699	29796778
ENSG00000201155	13	102431234	102431398
ENSG00000236758	13	29813516	29824691
ENSG00000215399	13	102454228	102454838
ENSG00000265164	13	102619992	102620096
ENSG00000223460	13	29880915	29881922
ENSG00000229975	13	102654475	102655660
ENSG00000270680	13	29913703	29914006
ENSG00000201690	13	102669303	102669419
ENSG00000179141	13	30050652	30064242
ENSG00000264482	13	102698284	102698354
ENSG00000236860	13	102915396	102915552
ENSG00000236258	13	30440096	30440306
ENSG00000224329	13	30446750	30462542
ENSG00000243319	13	102944677	103046869
ENSG00000224405	13	30492784	30500788
ENSG00000234445	13	103019889	103026016
ENSG00000122043	13	30510042	30524625
ENSG00000272143	13	103046980	103048053
ENSG00000266505	13	30596158	30597937
ENSG00000270581	13	103053821	103054807
ENSG00000261057	13	103241722	103242163
ENSG00000224511	13	30677315	30683012
ENSG00000269942	13	103331776	103332308
ENSG00000232117	13	30726023	30733758
ENSG00000238869	13	103374152	103374255
ENSG00000231633	13	103395340	103397574
ENSG00000232643	13	30728203	30728723
ENSG00000222301	13	103472343	103472419
ENSG00000266816	13	30780753	30780836
ENSG00000252928	13	30855902	30856006
ENSG00000250878	13	103532449	103548383
ENSG00000215049	13	30870284	30870872
ENSG00000272542	13	103541208	103542184
ENSG00000236463	13	30890497	30894040
ENSG00000234551	13	104077550	104080035
ENSG00000230474	13	104096970	104097318
ENSG00000225823	13	105466678	105467420
ENSG00000232307	13	106111404	106158030
ENSG00000238121	13	30914407	30951282
ENSG00000226620	13	106356629	106416789
ENSG00000225039	13	30993656	30996374
ENSG00000261577	HG185_PATCH	39910856	39943183
ENSG00000252550	13	106549872	106549992
ENSG00000236444	13	31002084	31002656
ENSG00000222643	13	106780720	106780837
ENSG00000222682	13	106807721	106807839
ENSG00000213411	13	31113734	31117598
ENSG00000233532	13	107028911	107030565
ENSG00000232489	13	31115780	31117034
ENSG00000174418	13	107078121	107078470
ENSG00000224117	13	31127807	31128830
ENSG00000272274	13	107270158	107283707
ENSG00000230156	13	107306264	107324511
ENSG00000237879	13	31377343	31384782
ENSG00000227590	13	107315785	107316195
ENSG00000174408	13	107516164	107516634
ENSG00000224743	13	31456070	31507983
ENSG00000196777	13	107594562	107594907
ENSG00000239050	13	107627286	107627374
ENSG00000221316	13	107773381	107773471
ENSG00000201847	13	107973243	107973311
ENSG00000221650	13	108183519	108183596
ENSG00000221473	13	108288379	108288464
ENSG00000227248	13	108440690	108487799
ENSG00000223177	13	108953560	108953679
ENSG00000232087	13	109132574	109134165
ENSG00000229938	13	109753609	109754267
ENSG00000236094	13	31456688	31457532
ENSG00000236242	13	109816250	109853831
ENSG00000238185	13	31547426	31551760
ENSG00000223617	13	109934321	109940081
ENSG00000230233	21	19986749	20022678
ENSG00000230403	13	31569299	31570275
ENSG00000236053	13	109962483	109964121
ENSG00000261163	HG185_PATCH	39958199	39968855
ENSG00000265841	21	20058408	20058482
ENSG00000231894	13	31651391	31689836
ENSG00000229792	13	110053043	110053988
ENSG00000221041	21	20076689	20076772
ENSG00000234854	13	110380629	110382354
ENSG00000198618	21	20230097	20230594
ENSG00000229427	13	31885426	31887058
ENSG00000255813	13	110407168	110407615
ENSG00000201161	13	110567443	110567767
ENSG00000231428	13	110705632	110707299
ENSG00000232193	21	20290252	20308177
ENSG00000229715	13	32420978	32527609
ENSG00000226204	21	20325582	20339376
ENSG00000265885	13	110750200	110750498
ENSG00000238629	13	111066552	111066653
ENSG00000235965	21	20418629	20420003
ENSG00000224821	13	111108743	111115634
ENSG00000235822	13	32559822	32565134
ENSG00000229289	21	20502841	20506741
ENSG00000237637	13	32599451	32605776
ENSG00000232814	13	111154922	111160526
ENSG00000226818	21	20616860	20618709
ENSG00000230633	13	32872291	32872849
ENSG00000255831	13	111291555	111292340
ENSG00000231620	21	20673930	20676056
ENSG00000215515	13	32958797	32960245
ENSG00000225239	13	111415021	111415480
ENSG00000212609	21	20717465	20717629
ENSG00000259831	13	111462023	111465431
ENSG00000212293	13	32994527	32994653
ENSG00000230198	21	20966155	20966422
ENSG00000270008	13	32999495	33007091
ENSG00000229152	13	111547406	111551519
ENSG00000271486	21	20993009	20993859
ENSG00000229336	21	21112023	21112464
ENSG00000229800	13	33051411	33052978
ENSG00000227105	13	111589106	111592131
ENSG00000215353	21	21131673	21132442
ENSG00000233480	21	21265593	21272069
ENSG00000225760	13	111635654	111642911
ENSG00000233236	21	21629065	21631133
ENSG00000225870	13	111748185	111755444
ENSG00000251851	21	21728060	21728164
ENSG00000252963	21	21728965	21729208
ENSG00000235875	13	111766159	111768025
ENSG00000207325	13	33337576	33337690
ENSG00000233676	21	21760646	21761157
ENSG00000226968	13	33451569	33485788
ENSG00000233644	13	111774999	111796611
ENSG00000234439	21	21797261	21798518
ENSG00000227352	13	111796652	111797080
ENSG00000227604	13	33528195	33528539
ENSG00000233206	21	21802755	21803074
ENSG00000221677	13	33615489	33615580
ENSG00000215881	13	112248356	112294426
ENSG00000230300	13	33732724	33738546
ENSG00000261258	HG185_PATCH	39968962	39979465
ENSG00000226903	13	112554299	112555490
ENSG00000224924	21	22114908	22175534
ENSG00000264989	13	112563079	112563148
ENSG00000200072	13	112706392	112706452
ENSG00000260385	13	112737863	112739785
ENSG00000229520	13	112760409	112761196
ENSG00000215351	21	22200445	22200940
ENSG00000224243	13	112761433	112762329
ENSG00000226771	21	22595616	22599150
ENSG00000260102	13	112851664	112855314
ENSG00000221210	21	22770068	22770146
ENSG00000234730	21	22939084	22987758
ENSG00000260343	13	112967781	112976072
ENSG00000198434	21	23006773	23007049
ENSG00000223626	13	112976881	112985539
ENSG00000237527	21	23027359	23058649
ENSG00000264726	13	113372159	113372228
ENSG00000232684	13	113399763	113409007
ENSG00000238265	21	23095613	23109639
ENSG00000234603	13	113539551	113539994
ENSG00000236581	13	33845516	33855471
ENSG00000267868	13	113619149	113620445
ENSG00000188403	15	20169919	20170354
ENSG00000235280	13	113621798	113623138
ENSG00000269356	13	113663092	113663738
ENSG00000233997	21	23119293	23169735
ENSG00000269376	13	113663985	113664633
ENSG00000231882	13	113782469	113783194
ENSG00000230371	13	113784730	113786368
ENSG00000259490	15	20192909	20193370
ENSG00000269125	13	113819316	113819497
ENSG00000227075	21	23305635	23348000
ENSG00000232662	13	113930931	113932049
ENSG00000270961	15	20209093	20209115
ENSG00000225083	13	114005988	114016183
ENSG00000233215	21	23381263	23470778
ENSG00000233613	13	114123216	114130450
ENSG00000271317	15	20210050	20210068
ENSG00000202347	13	114133230	114133393
ENSG00000227208	13	114451484	114454062
ENSG00000270783	15	20211158	20211188
ENSG00000233695	13	114518603	114542321
ENSG00000271197	15	20213655	20213685
ENSG00000272695	13	114567141	114569806
ENSG00000184856	21	23470936	23488847
ENSG00000227911	13	33907816	33909414
ENSG00000237699	13	114580581	114582349
ENSG00000271336	15	20216406	20216422
ENSG00000264288	13	33911020	33911109
ENSG00000265259	18	21852889	21853170
ENSG00000260753	HG185_PATCH	39981433	39992515
ENSG00000234340	21	23507018	23508403
ENSG00000230490	13	33929343	34250905
ENSG00000212051	18	21901650	21901699
ENSG00000226921	13	114581673	114586624
ENSG00000264365	18	21944751	21947948
ENSG00000273321	18	21982117	21982678
ENSG00000234535	13	34185104	34185659
ENSG00000232986	13	34231573	34234065
ENSG00000199636	18	22009469	22009573
ENSG00000265094	18	22015328	22019602
ENSG00000252397	13	34403676	34403786
ENSG00000263663	13	34486129	34486218
ENSG00000227254	13	34656566	34657447
ENSG00000229373	13	114586640	114626485
ENSG00000199196	13	34674848	34674975
ENSG00000215405	15	20737094	20747114
ENSG00000271850	13	34922180	35188307
ENSG00000225179	13	35009587	35214822
ENSG00000231136	21	23526270	23526619
ENSG00000260910	13	114629487	114631817
ENSG00000271901	13	35120066	35245319
ENSG00000202339	21	23577511	23577651
ENSG00000232487	13	114873044	114874295
ENSG00000226043	21	23582258	23793139
ENSG00000231910	13	35148341	35148803
ENSG00000264539	13	115009980	115010036
ENSG00000261728	13	35499971	35502213
ENSG00000223488	21	23808610	23810669
ENSG00000265450	13	115039303	115039383
ENSG00000232795	13	35759431	35760816
ENSG00000226158	13	115072121	115072541
ENSG00000234835	13	35825207	35825966
ENSG00000229723	13	115095034	115099423
ENSG00000268343	15	21004687	21005367
ENSG00000221519	13	36068551	36068674
ENSG00000236036	13	36271661	36273393
ENSG00000207203	13	36841305	36841411
ENSG00000169861	21	10862622	10863067
ENSG00000266047	13	36929928	36930015
ENSG00000223383	13	37064215	37064578
ENSG00000222602	13	37302739	37302829
ENSG00000235306	13	37314178	37315000
ENSG00000223543	13	37316015	37316602
ENSG00000215486	13	37363469	37369187
ENSG00000261631	HG185_PATCH	39991937	40004636
ENSG00000230031	15	21040701	21071643
ENSG00000271337	13	37378335	37379439
ENSG00000236711	13	37423503	37424183
ENSG00000228825	13	37496676	37497045
ENSG00000232378	13	37500575	37501356
ENSG00000226161	13	37512537	37513631
ENSG00000221100	13	37608814	37608929
ENSG00000202395	13	37740489	37740795
ENSG00000230283	13	37794997	37795383
ENSG00000234034	21	23872924	23892377
ENSG00000230390	13	38055604	38058906
ENSG00000263796	21	24052992	24053286
ENSG00000199276	13	38428989	38429107
ENSG00000225906	21	24254903	24256321
ENSG00000228036	13	38567222	38568857
ENSG00000230972	21	24437813	24503528
ENSG00000259896	HG185_PATCH	40009797	40021683
ENSG00000223685	13	38624954	38717369
ENSG00000219368	21	24462350	24464153
ENSG00000236354	13	39107480	39119436
ENSG00000231058	21	24473545	24475396
ENSG00000229437	13	39150777	39153131
ENSG00000223078	21	24654058	24654231
ENSG00000234701	13	39191556	39192077
ENSG00000228592	21	24733426	24757182
ENSG00000252795	13	39353561	39353653
ENSG00000212049	13	39364781	39364891
ENSG00000270824	15	21215823	21215845
ENSG00000225350	13	39395935	39401707
ENSG00000225221	13	39476524	39476787
ENSG00000270451	15	21216780	21216798
ENSG00000235550	13	39496864	39510336
ENSG00000223822	21	24762579	24763317
ENSG00000271255	15	21217888	21217918
ENSG00000214823	13	39743773	39744088
ENSG00000271305	15	21220377	21220407
ENSG00000238408	13	40021252	40021353
ENSG00000216014	13	40226715	40226806
ENSG00000264171	13	40238171	40238272
ENSG00000237569	21	24779978	24781448
ENSG00000200526	13	40359552	40359647
ENSG00000224351	13	40391878	40392186
ENSG00000138593	15	49280673	49338760
ENSG00000270444	13	40430847	40431231
ENSG00000212553	13	40431272	40431364
ENSG00000270185	15	21223129	21223145
ENSG00000230710	13	40755946	40763165
ENSG00000271429	13	40798762	40798999
ENSG00000207458	13	40800964	40801069
ENSG00000268531	15	22011370	22012050
ENSG00000230058	13	40918094	40924440
ENSG00000252812	13	40981259	40981577
ENSG00000215483	13	41025131	41055143
ENSG00000229456	13	41192875	41195485
ENSG00000211491	13	41301964	41302011
ENSG00000207652	13	41384902	41384997
ENSG00000168852	13	41396432	41495890
ENSG00000233917	15	22051853	22083227
ENSG00000166157	21	10906201	11029719
ENSG00000260245	HG185_PATCH	40023160	40075239
ENSG00000176268	13	41437735	41438038
ENSG00000239827	13	41482295	41495910
ENSG00000229473	13	41566915	41567467
ENSG00000264226	13	41675155	41675236
ENSG00000199698	21	24804501	24804602
ENSG00000244264	13	41696012	41696305
ENSG00000227716	21	24849960	24863043
ENSG00000215482	13	41744836	41745284
ENSG00000231986	21	25261114	25262857
ENSG00000238651	13	41754117	41754223
ENSG00000225133	13	41773968	41774943
ENSG00000235564	21	25333220	25339588
ENSG00000231404	13	41861877	41862456
ENSG00000226996	21	25415572	25422601
ENSG00000264695	18	22069339	22071044
ENSG00000223280	13	41928693	41928795
ENSG00000224018	21	25527484	25560655
ENSG00000266489	18	22096847	22097970
ENSG00000214222	13	41958909	41959319
ENSG00000224832	21	25676863	25693690
ENSG00000266181	18	22102237	22102883
ENSG00000205240	13	42005425	42006446
ENSG00000237484	21	25801054	25920256
ENSG00000265485	18	22208146	22242162
ENSG00000234655	13	42013952	42015035
ENSG00000263553	18	22253127	22254312
ENSG00000266520	18	22265736	22266315
ENSG00000215480	13	42016906	42017786
ENSG00000266809	18	22269878	22270125
ENSG00000263907	13	42019427	42019503
ENSG00000266573	18	22305745	22509040
ENSG00000263928	13	42020193	42020261
ENSG00000264042	13	42024148	42024235
ENSG00000264190	13	42142422	42142531
ENSG00000241406	13	42381813	42382108
ENSG00000206962	13	42479254	42479360
ENSG00000264345	18	22513451	22567646
ENSG00000229696	13	42499734	42501485
ENSG00000229248	18	22596398	22597168
ENSG00000226093	13	42577566	42577773
ENSG00000231530	13	42617863	42618383
ENSG00000265552	18	22635564	22636724
ENSG00000237263	13	42643068	42645229
ENSG00000264434	18	22882090	22882920
ENSG00000265679	13	42747126	42747223
ENSG00000242216	18	23398200	23398496
ENSG00000270809	13	42755601	42756057
ENSG00000264193	18	23533180	23533432
ENSG00000234213	13	42830009	42830711
ENSG00000243925	18	23678803	23679190
ENSG00000260703	HG185_PATCH	40086887	40121903
ENSG00000233259	13	42943374	42943793
ENSG00000188985	18	23749724	23751313
ENSG00000271216	13	43384502	43386698
ENSG00000229546	13	43416550	43417023
ENSG00000266227	18	23784833	23785868
ENSG00000238025	13	43507994	43509028
ENSG00000256715	21	14741931	14745386
ENSG00000263829	18	23835662	23836319
ENSG00000229928	13	43732767	43733602
ENSG00000232540	13	43968661	43968961
ENSG00000266237	18	23845973	23847373
ENSG00000238189	13	44032601	44033259
ENSG00000252921	18	23879079	23879219
ENSG00000233821	13	44118054	44122192
ENSG00000264911	18	23928311	23928968
ENSG00000270522	13	44361727	44361988
ENSG00000207160	18	23946265	23946370
ENSG00000263862	18	24002959	24006065
ENSG00000166351	21	14982498	15013906
ENSG00000252846	18	24166678	24166762
ENSG00000233725	13	44482850	44604597
ENSG00000263846	18	24179372	24180302
ENSG00000260283	HG185_PATCH	40122993	40131428
ENSG00000269011	21	15051621	15053459
ENSG00000260372	18	24235706	24770662
ENSG00000179611	13	44542560	44545335
ENSG00000168675	18	13217497	13652754
ENSG00000226519	13	44680514	44711372
ENSG00000227258	13	44716682	44813010
ENSG00000265369	18	24267585	24283602
ENSG00000235285	13	44720606	44732358
ENSG00000263677	18	24268075	24269632
ENSG00000230731	13	44808254	44817328
ENSG00000263382	18	24402777	24403943
ENSG00000237361	13	44974386	44980120
ENSG00000266184	18	24411484	24412396
ENSG00000266549	18	24532165	24532522
ENSG00000225727	13	45011343	45026963
ENSG00000265374	18	24805706	24827152
ENSG00000262684	HG185_PATCH	40132691	40173905
ENSG00000230793	13	45168994	45170218
ENSG00000188992	21	15481134	15583166
ENSG00000238932	13	45202705	45202809
ENSG00000237585	13	45225948	45275152
ENSG00000235097	13	45373639	45383766
ENSG00000223732	13	45556212	45657260
ENSG00000265802	13	45576285	45576580
ENSG00000223341	13	45634864	45635221
ENSG00000271818	13	45697228	45697549
ENSG00000252055	13	45711997	45712100
ENSG00000270381	13	45837825	45838050
ENSG00000221163	13	45874149	45874235
ENSG00000253051	13	45910449	45910582
ENSG00000199477	13	45911615	45911744
ENSG00000273149	13	45914174	45915318
ENSG00000185272	21	15588451	15600693
ENSG00000182974	15	22368478	22369561
ENSG00000226983	21	26212864	26430059
ENSG00000260770	HG185_PATCH	40173272	40181893
ENSG00000183706	15	22382382	22383507
ENSG00000170919	13	45915480	45965872
ENSG00000227090	21	26258990	26275070
ENSG00000230379	21	26310745	26365129
ENSG00000270505	15	22448382	22448819
ENSG00000269182	15	22456895	22460351
ENSG00000259261	15	22472918	22473353
ENSG00000237444	21	26403318	26403842
ENSG00000244278	21	26427848	26442219
ENSG00000155304	21	15743436	15755805
ENSG00000260320	HG185_PATCH	40181828	40219330
ENSG00000228886	13	45924458	45925485
ENSG00000214455	13	45964486	45965402
ENSG00000251015	13	45992297	45994506
ENSG00000229303	13	46010256	46010795
ENSG00000200709	13	46125620	46125738
ENSG00000197414	15	22736246	22746002
ENSG00000232786	13	46126998	46127271
ENSG00000228869	13	46245980	46246526
ENSG00000235366	13	46255225	46256554
ENSG00000232512	21	26467335	26475983
ENSG00000237876	13	46261683	46262604
ENSG00000260178	HG185_PATCH	40257656	40268985
ENSG00000223870	21	26499782	26507561
ENSG00000235903	13	46626941	46687467
ENSG00000222042	21	26541745	26706139
ENSG00000238627	21	26574521	26574629
ENSG00000240767	13	46743594	46743883
ENSG00000238483	13	46809805	46809908
ENSG00000252854	13	46824077	46824348
ENSG00000251106	13	46844212	46844752
ENSG00000261097	13	46870580	46871979
ENSG00000223336	13	46948536	46948725
ENSG00000252385	13	46984589	46984692
ENSG00000166200	15	49398268	49447858
ENSG00000155307	21	15857549	15955723
ENSG00000241353	13	46917102	47012325
ENSG00000259958	HG185_PATCH	40269360	40277610
ENSG00000243440	21	15964251	16031142
ENSG00000231817	13	47029270	47060641
ENSG00000227019	13	47034744	47035256
ENSG00000205105	13	47064997	47065397
ENSG00000260325	HG185_PATCH	40277683	40279604
ENSG00000230243	13	47079253	47079571
ENSG00000224517	13	47426278	47430434
ENSG00000234590	13	47881217	47881436
ENSG00000244521	13	48033078	48033369
ENSG00000234145	13	48337595	48338741
ENSG00000229423	13	48340775	48341220
ENSG00000261378	HG185_PATCH	40281228	40311269
ENSG00000228573	13	48399465	48410091
ENSG00000153575	15	22833395	22873892
ENSG00000234689	13	48479464	48481492
ENSG00000260388	13	48504290	48506757
ENSG00000227848	13	48575525	48576688
ENSG00000263172	HG185_PATCH	39874406	39874512
ENSG00000229111	13	48651273	48654127
ENSG00000262688	HG185_PATCH	39886381	39886657
ENSG00000266571	HG185_PATCH	39993316	39993580
ENSG00000224510	13	48708494	48708670
ENSG00000260752	HG185_PATCH	40004770	40007699
ENSG00000231473	13	48870649	48877797
ENSG00000264151	18	24916343	25175128
ENSG00000238086	13	48890999	48894611
ENSG00000177197	13	48902220	48902700
ENSG00000233456	13	49144775	49147453
ENSG00000180530	21	16333556	16437321
ENSG00000233610	13	49151110	49152224
ENSG00000264790	18	24923216	24926074
ENSG00000222391	13	49326225	49326292
ENSG00000225131	13	49345264	49345965
ENSG00000244329	18	24935370	24935728
ENSG00000265585	13	49504256	49504348
ENSG00000201662	13	49562051	49562153
ENSG00000263611	18	24977916	24981868
ENSG00000223724	13	49618215	49620930
ENSG00000265097	18	24998848	25000399
ENSG00000199788	13	49669527	49669628
ENSG00000235957	13	49761615	49761806
ENSG00000263405	18	25032478	25033621
ENSG00000231665	13	49784558	49786430
ENSG00000227279	18	25534483	25543651
ENSG00000236577	13	50063106	50063500
ENSG00000137824	15	41028082	41048049
ENSG00000266296	18	26231696	26233172
ENSG00000176882	13	50194450	50194784
ENSG00000261371	HG183_PATCH	62399863	62491136
ENSG00000265994	18	26365032	26369224
ENSG00000203547	13	50243040	50243254
ENSG00000271238	18	26404616	26404790
ENSG00000222148	13	50463770	50463864
ENSG00000181358	13	50464727	50467134
ENSG00000251719	18	26628584	26628683
ENSG00000265730	18	26675539	26675643
ENSG00000200064	13	50482770	50482866
ENSG00000212085	18	26776406	26776492
ENSG00000264526	13	50526670	50526750
ENSG00000264864	13	50570551	50570637
ENSG00000266479	18	26836782	26837025
ENSG00000259458	15	62929371	62937490
ENSG00000265980	18	26858474	26941928
ENSG00000221731	18	27063293	27063388
ENSG00000264587	18	27098224	27128206
ENSG00000266196	18	28293241	28294252
ENSG00000265670	18	28534786	28560883
ENSG00000251702	18	28564072	28564181
ENSG00000261521	18	28638806	28639359
ENSG00000231607	13	50601269	50699856
ENSG00000238376	18	28652470	28652573
ENSG00000238660	21	26711319	26711413
ENSG00000265888	18	28681551	28742752
ENSG00000213885	21	26734135	26734745
ENSG00000263698	18	28711419	28712457
ENSG00000185433	21	26758133	26804013
ENSG00000266729	18	28923331	29006951
ENSG00000238314	21	26842421	26842513
ENSG00000229962	21	26887785	26890650
ENSG00000208006	13	50623109	50623197
ENSG00000207019	18	28925325	28925430
ENSG00000214359	13	50673467	50674004
ENSG00000234883	21	26934221	26947480
ENSG00000207240	18	28962280	28962393
ENSG00000266521	18	29076608	29077158
ENSG00000232150	13	50746225	50747317
ENSG00000260583	21	26955082	26955638
ENSG00000264859	18	29122109	29136874
ENSG00000237731	21	27015801	27016528
ENSG00000223676	13	50935546	50935899
ENSG00000227054	21	27064492	27064866
ENSG00000263304	HG183_PATCH	62526397	62546003
ENSG00000252379	18	29249252	29249341
ENSG00000221198	13	50937284	50937373
ENSG00000235514	21	27135249	27135644
ENSG00000229323	13	51095069	51101585
ENSG00000259985	18	29265618	29266786
ENSG00000200472	18	29298856	29299171
ENSG00000137880	15	41056218	41059906
ENSG00000265158	18	29304161	29306919
ENSG00000233783	21	27306373	27315001
ENSG00000263772	18	29306006	29306360
ENSG00000237152	13	51381992	51423190
ENSG00000251972	21	27315359	27315460
ENSG00000263924	18	29424351	29425141
ENSG00000200711	13	51387124	51387242
ENSG00000224541	21	27530409	27548142
ENSG00000270518	18	29462583	29462865
ENSG00000270879	18	29464821	29465106
